condition,frontend,feature,clinical,n,rho,p,q_global
rest,alpha_global,mean_D,ctt,109,-0.06562429164115062,0.4977905822559237,0.9930135882425856
rest,alpha_global,sd_D,updrs_part_iii,113,0.0697889511470195,0.46263528457503417,0.9930135882425856
rest,alpha_global,sd_D,updrs_total,113,0.015232165517331232,0.8727793894981012,0.9933431919635606
rest,alpha_global,sd_D,moca,113,0.01768767550490081,0.8524866781843432,0.9930135882425856
rest,alpha_global,sd_D,disease_duration,116,-0.04128801481076635,0.6598954876894997,0.9930135882425856
rest,alpha_global,sd_D,ledd,115,-0.030778329087476006,0.7440215038575735,0.9930135882425856
rest,alpha_global,sd_D,pigd_score,113,0.07535858018171984,0.42760611506965657,0.9930135882425856
rest,alpha_global,sd_D,td_score,113,0.018314965913756198,0.8473175157336765,0.9930135882425856
rest,alpha_global,sd_D,ctt,109,-0.06529817067735195,0.4999338775555196,0.9930135882425856
rest,alpha_global,mean_lambda,updrs_part_iii,113,0.11206102048146005,0.2373222156945032,0.9738635887581278
rest,alpha_global,mean_lambda,updrs_total,113,0.12303641357945505,0.19418707790591774,0.9534301174509907
rest,alpha_global,mean_lambda,moca,113,0.013564740808787803,0.8866073084181848,0.9958760007869497
rest,alpha_global,mean_lambda,disease_duration,116,0.08299231233086782,0.37577724150739333,0.9930135882425856
rest,alpha_global,mean_lambda,ledd,115,0.07045881660914467,0.454301531224331,0.9930135882425856
rest,alpha_global,mean_lambda,pigd_score,113,0.10602650236425619,0.2636953947887796,0.9815634423974824
rest,alpha_global,mean_lambda,td_score,113,0.06804123348791255,0.47394398690353245,0.9930135882425856
rest,alpha_global,mean_lambda,ctt,109,0.16310275628760404,0.09015543634457378,0.9534301174509907
rest,alpha_global,sd_lambda,updrs_part_iii,113,-0.015441848487562249,0.8710431152638622,0.9930135882425856
rest,alpha_global,sd_lambda,updrs_total,113,-0.0672097108344406,0.47937655455307127,0.9930135882425856
rest,alpha_global,sd_lambda,moca,113,0.01712438541614007,0.8571337868883601,0.9930135882425856
rest,alpha_global,sd_lambda,disease_duration,116,-0.001108605286916407,0.9905766118232934,0.9992686269414356
rest,alpha_global,sd_lambda,ledd,115,-0.0074365855685157725,0.9371293582122245,0.9971683422099584
rest,alpha_global,sd_lambda,pigd_score,113,-0.02743183226549404,0.7730280071990508,0.9930135882425856
rest,alpha_global,sd_lambda,td_score,113,-0.019222940693185652,0.8398469035274051,0.9930135882425856
rest,alpha_global,sd_lambda,ctt,109,-0.1459350874444533,0.1299852092987478,0.9534301174509907
rest,alpha_global,multilevel,updrs_part_iii,113,0.05911713536521553,0.5339544441609103,0.9930135882425856
rest,alpha_global,multilevel,updrs_total,113,0.0032860168494839442,0.9724445172616344,0.9990791713784998
rest,alpha_global,multilevel,moca,113,0.022137235149353045,0.8159678973321841,0.9930135882425856
rest,alpha_global,multilevel,disease_duration,116,-0.04701839293290918,0.6162326635587553,0.9930135882425856
rest,alpha_global,multilevel,ledd,115,-0.03517775153146208,0.7089744149422724,0.9930135882425856
rest,alpha_global,multilevel,pigd_score,113,0.06463856606720172,0.4963845565572579,0.9930135882425856
rest,alpha_global,multilevel,td_score,113,0.016566737663352985,0.861739163975712,0.9930135882425856
rest,alpha_global,multilevel,ctt,109,-0.06548516648581906,0.4987043346885334,0.9930135882425856
rest,alpha_global,pivot_rate,updrs_part_iii,113,-0.12134626513471618,0.20043148221461063,0.9534301174509907
rest,alpha_global,pivot_rate,updrs_total,113,-0.09697986643547277,0.3068477375100058,0.9930135882425856
rest,alpha_global,pivot_rate,moca,113,0.039380572894292934,0.6787807785221326,0.9930135882425856
