modality,condition,feature,n,mean_change,t,p,paired_dz,q_fdr
gait,early_abrupt,occ_L6,30,-0.008333333333333333,-1.184578324321196,0.24580198700338757,-0.2162734231207966,0.3805966250375033
gait,early_abrupt,occ_L7,30,0.004166666666666666,0.2939306608137962,0.7709043973431635,0.05366415109003866,0.8604372426030094
gait,early_abrupt,occ_L8,30,0.008333333333333331,0.37550614141000244,0.7100167896559425,0.06855772804399436,0.841501380332969
gait,early_abrupt,occ_L9,30,-0.006944444444444444,-0.31854286859426045,0.7523560671981885,-0.058157704887160135,0.8604372426030094
gait,early_abrupt,occ_L10,30,0.03055555555555555,1.2976059455856364,0.2046501596147195,0.23690934905002473,0.3329900902205606
gait,early_abrupt,occ_L11,30,-0.006944444444444442,-0.6679474875720739,0.5094485612478978,-0.12194996872404217,0.6699597517780574
gait,early_abrupt,occ_L12,30,0.0,,,,
gait,late_abrupt,mean_H,30,0.0972222222222222,1.6337214665305868,0.1131288158531648,0.2982753666330745,0.23345218204638107
gait,late_abrupt,sd_H,30,-0.15598954313667993,-2.590656963211133,0.014836658776047201,-0.4729870858361897,0.050868544375018976
gait,late_abrupt,mean_D,30,-0.10555555555555557,-4.869532244565253,3.64522804665977e-05,-0.8890508849490508,0.0011664729749311265
gait,late_abrupt,sd_D,30,-0.32325544763228325,-5.882224242752725,2.2013735147054277e-06,-1.0739423020198038,0.00021133185741172106
gait,late_abrupt,mean_lambda,30,0.20277777777777783,2.668590806975465,0.012340669584919197,0.48721579391045894,0.04387793630193492
gait,late_abrupt,sd_lambda,30,-0.4041043536980712,-4.10252283428721,0.0003026432153340429,-0.7490147663397112,0.0032281942968964577
gait,late_abrupt,multilevel,30,-0.05138888888888889,-4.6438034384323705,6.819869911099827e-05,-0.8478386319498208,0.0013807145016464086
gait,late_abrupt,pivot_rate,30,-0.015277777777777776,-1.4587516365625932,0.1553804549181903,-0.26633039238097006,0.2802075389993816
gait,late_abrupt,compound_pivot_fraction,30,-0.006917989417989419,-0.14231677398696568,0.8878139602361192,-0.025983369141341844,0.9198278560742836
gait,late_abrupt,pivot_depth,30,-0.3127380952380952,-2.0279229357292237,0.05184334330463986,-0.37024637892699835,0.12442402393113568
