frontend,condition,change,feature,n,rho,p,q_global
theta_global,early_gradual,True,compound_pivot_fraction,30,-0.15545161830192378,0.4120630856380008,0.9982245823548548
theta_global,early_gradual,True,pivot_depth,30,-0.08782280478670394,0.6444548089297192,0.9982245823548548
theta_global,early_gradual,True,tree_span_events,30,0.013349649654305795,0.9441816701223542,0.9982245823548548
theta_global,early_gradual,True,tree_span_time,30,-0.0896551724137931,0.6375361975693831,0.9982245823548548
theta_global,early_gradual,True,tree_root_fraction,30,-0.05435859118096424,0.7754189334586472,0.9982245823548548
theta_global,early_gradual,True,tree_ascending_fraction,30,-0.035154077423005255,0.8536824660147805,0.9982245823548548
theta_global,early_gradual,True,occ_L2,30,0.3343092532148913,0.07097520108851721,0.9982245823548548
theta_global,early_gradual,True,occ_L3,30,-0.08457137743228911,0.6568031167195625,0.9982245823548548
theta_global,early_gradual,True,occ_L4,30,0.23150102471415426,0.21835656450641733,0.9982245823548548
theta_global,early_gradual,True,occ_L5,30,-0.20503222326450626,0.2770863991268293,0.9982245823548548
theta_global,early_gradual,True,occ_L6,30,0.12911261989928915,0.49651423085617913,0.9982245823548548
theta_global,early_gradual,True,occ_L7,30,0.386374013930586,0.03494283643268576,0.9982245823548548
theta_global,early_gradual,True,occ_L8,30,-0.003709959748970196,0.9844766458166653,1.0
theta_global,early_gradual,True,occ_L9,30,-0.08779563569321562,0.6445576145356885,0.9982245823548548
theta_global,early_gradual,True,occ_L10,30,0.13584140916893497,0.4741475347715432,0.9982245823548548
theta_global,early_gradual,True,occ_L11,30,0.21852423422756428,0.24599353276990035,0.9982245823548548
theta_global,late_gradual,True,mean_H,30,-0.3271735520662035,0.07759844082053513,0.9982245823548548
theta_global,late_gradual,True,sd_H,30,-0.22447163515016688,0.2330528785134067,0.9982245823548548
theta_global,late_gradual,True,mean_D,30,-0.036072344674088354,0.8499028661172704,0.9982245823548548
theta_global,late_gradual,True,sd_D,30,-0.03609155943613685,0.8498238124270354,0.9982245823548548
theta_global,late_gradual,True,mean_lambda,30,-0.29337785379254094,0.11561070183683074,0.9982245823548548
theta_global,late_gradual,True,sd_lambda,30,-0.14260289210233593,0.45221109012212063,0.9982245823548548
theta_global,late_gradual,True,multilevel,30,-0.03889674738436405,0.8382983569232709,0.9982245823548548
theta_global,late_gradual,True,pivot_rate,30,-0.1000574304769402,0.5988371543697335,0.9982245823548548
theta_global,late_gradual,True,compound_pivot_fraction,30,-0.0508738731862045,0.7894843497796187,0.9982245823548548
theta_global,late_gradual,True,pivot_depth,30,-0.2668595857531825,0.15399964760918397,0.9982245823548548
theta_global,late_gradual,True,tree_span_events,30,-0.08277703809740286,0.6636560736928572,0.9982245823548548
theta_global,late_gradual,True,tree_span_time,30,-0.08031145717463849,0.6731160927086494,0.9982245823548548
theta_global,late_gradual,True,tree_root_fraction,30,0.02112403592284782,0.9117773831413435,0.9982245823548548
theta_global,late_gradual,True,tree_ascending_fraction,30,-0.30810332528465967,0.09763672882642868,0.9982245823548548
theta_global,late_gradual,True,occ_L2,30,0.3892494720807615,0.033496842800407815,0.9982245823548548
theta_global,late_gradual,True,occ_L3,30,0.02720647808954716,0.8865190208380749,0.9982245823548548
theta_global,late_gradual,True,occ_L4,30,0.000265373941285807,0.998889546408811,1.0
theta_global,late_gradual,True,occ_L5,30,-0.14627632552535252,0.44052477928420813,0.9982245823548548
theta_global,late_gradual,True,occ_L6,30,-0.12611250061483548,0.5066551942476716,0.9982245823548548
theta_global,late_gradual,True,occ_L7,30,0.03862405681576919,0.8394173408815578,0.9982245823548548
theta_global,late_gradual,True,occ_L8,30,0.2473059483735919,0.18764772178009345,0.9982245823548548
theta_global,late_gradual,True,occ_L9,30,0.10642101044664645,0.5756722036810075,0.9982245823548548
theta_global,late_gradual,True,occ_L10,30,-0.33419819285893704,0.07107481375180419,0.9982245823548548
theta_global,late_gradual,True,occ_L11,30,-0.23342842293625815,0.21443949423563494,0.9982245823548548
alpha_global,baseline,False,mean_H,30,-0.19776667125296044,0.29483371627867244,0.9894404911404886
alpha_global,baseline,False,sd_H,30,0.024034716961966577,0.8996782623687095,0.9918654087973819
alpha_global,baseline,False,mean_D,30,0.2089754060186236,0.2677489902513494,0.9894404911404886
alpha_global,baseline,False,sd_D,30,0.2089754060186236,0.2677489902513494,0.9894404911404886
alpha_global,baseline,False,mean_lambda,30,-0.15416450042861352,0.4159923138811751,0.9894404911404886
alpha_global,baseline,False,sd_lambda,30,0.05162438935106845,0.7864493829634075,0.989854645308112
alpha_global,baseline,False,multilevel,30,0.17981148603372676,0.34170599954188974,0.9894404911404886
alpha_global,baseline,False,pivot_rate,30,0.21758339556663672,0.2480834108558995,0.9894404911404886
alpha_global,baseline,False,compound_pivot_fraction,30,0.20434581810851085,0.27873296046010765,0.9894404911404886
alpha_global,baseline,False,pivot_depth,30,0.2788001295582809,0.13571793518123798,0.9894404911404886
alpha_global,baseline,False,tree_span_events,30,0.058082497212931995,0.7604647871061588,0.989854645308112
alpha_global,baseline,False,tree_span_time,30,0.08698553948832036,0.647625896626907,0.989854645308112
alpha_global,baseline,False,tree_root_fraction,30,-0.23765229479891886,0.20602348650376404,0.9894404911404886
alpha_global,baseline,False,tree_ascending_fraction,30,-0.167598494737572,0.3760198172230423,0.9894404911404886
alpha_global,baseline,False,occ_L2,30,,,
alpha_global,baseline,False,occ_L3,30,-0.1975671205007112,0.29533108157818827,0.9894404911404886
alpha_global,baseline,False,occ_L4,30,0.001977273329850952,0.991726264713273,1.0
alpha_global,baseline,False,occ_L5,30,0.3582788233733299,0.051885917509325356,0.9894404911404886
alpha_global,baseline,False,occ_L6,30,0.0,1.0,1.0
alpha_global,baseline,False,occ_L7,30,0.029861118992302992,0.8755277927654433,0.989854645308112
alpha_global,baseline,False,occ_L8,30,0.10033470264028994,0.5978195424336666,0.989854645308112
alpha_global,baseline,False,occ_L9,30,0.1904123761431865,0.31351426744967953,0.9894404911404886
alpha_global,baseline,False,occ_L10,30,-0.034318185363449084,0.8571257733534529,0.989854645308112
